ID,SORTIMENT,TYPERING,JAAR_VAN_AANPLANT,STRAATNAAM,WOONPLAATS,RD_XCOORD,RD_YCOORD,longitude,latitude
990934,Tilia platyphyllos,Monumentale Boom,1950,Aalsmeerderdijk,Rijsenhout,"110105,715","475487,41",4.72955423139735,52.2655749501122
982852,Aesculus hippocastanum,Monumentale Boom,1915,Aalsmeerderweg,Rijsenhout,"108769,262","475185,367",4.71001930524804,52.2627500763355
1126693,Aesculus hippocastanum,Monumentale Boom,2000,Molenweg,Aalsmeerderbrug,"112775,205","477020,195",4.76846558736098,52.2795611954381
1126694,Aesculus hippocastanum,Monumentale Boom,2000,Molenweg,Aalsmeerderbrug,"112784,267","477013,911",4.76859915338576,52.2795054136574
452483,Aesculus hippocastanum,Waardevolle Boom,2000,Huigsloterdijk,Weteringbrug,"103748,411","470337,407",4.63721312510025,52.2187375406341
452482,Aesculus hippocastanum,Waardevolle Boom,2000,Huigsloterdijk,Weteringbrug,"103744,98","470340,123",4.63716251565033,52.2187616312767
672356,Aesculus hippocastanum,Monumentale Boom,1895,IJweg,Hoofddorp,"105480,848","480662,34",4.6610524476468,52.3116864506235
839940,Aesculus hippocastanum,Monumentale Boom,1935,Raadhuislaan,Hoofddorp,"107557,967","479976,126",4.69160554749128,52.3057021911413
839942,Aesculus hippocastanum,Monumentale Boom,1935,Raadhuislaan,Hoofddorp,"107570,135","479975,327",4.6917840486246,52.3056960521175
990931,Tilia platyphyllos,Monumentale Boom,1950,Aalsmeerderdijk,Rijsenhout,"110112,547","475491,815",4.72965372281216,52.2656151011365
949656,Aesculus hippocastanum,Monumentale Boom,1895,Bennebroekerweg,Rijsenhout,"109075,536","474587,748",4.7145863374972,52.2574047543443
926662,Fagus sylvatica 'Purpurea',Monumentale Boom,1895,Aalsmeerderdijk,Rijsenhout,"109154,248","474554,336",4.71574361919429,52.257111015484
286317,Fagus sylvatica,Monumentale Boom,1950,Hoofdweg,Buitenkaag,"98440,936","470617,121",4.55950696728381,52.2207335230852
286320,Fagus sylvatica,Monumentale Boom,1950,Hoofdweg,Buitenkaag,"98440,893","470610,815",4.55950738913905,52.2206768467043
286323,Fagus sylvatica,Monumentale Boom,1950,Hoofdweg,Buitenkaag,"98442,002","470605,32",4.55952453195263,52.2206275766956
286324,Fagus sylvatica,Monumentale Boom,1950,Hoofdweg,Buitenkaag,"98441,209","470599,51",4.55951389733685,52.2205752810923
286322,Fagus sylvatica,Monumentale Boom,1950,Hoofdweg,Buitenkaag,"98443,466","470593,79",4.55954787663228,52.2205241065265
965066,Aesculus hippocastanum,Monumentale Boom,1870,Hoofdweg,Lijnden,"110315,894","483006,643",4.73163858780344,52.3331681602695
968608,Aesculus hippocastanum,Monumentale Boom,1915,Hoofdweg,Lijnden,"110603,306","483326,685",4.73581284617436,52.3360676310497
917255,Platanus x hispanica,Waardevolle Boom,1969,Parklaan,Hoofddorp,"107894,723","479894,023",4.69655417753926,52.3049932148467
278678,Fraxinus excelsior,Monumentale Boom,1935,Hoofdweg,Abbenes,"101105,924","472594,21",4.59818912806438,52.2387680918181
278679,Fraxinus excelsior,Monumentale Boom,1935,Hoofdweg,Abbenes,"101101,22","472598,431",4.59811959868856,52.2388055704088
278681,Fraxinus excelsior,Monumentale Boom,1935,Hoofdweg,Abbenes,"101096,517","472602,17",4.59805014589167,52.2388387132313
278682,Fraxinus excelsior,Monumentale Boom,1935,Hoofdweg,Abbenes,"101091,933","472607,115",4.59798226679794,52.2388827071259
275226,Fraxinus excelsior,Monumentale Boom,1935,Hoofdweg,Abbenes,"101087,579","472609,65",4.59791812035087,52.2389050631653
521528,Quercus robur,Monumentale Boom,1870,Cruquiusdijk,Cruquius,"104015,929","483633,971",4.63912365167954,52.3382586147556
498954,Fagus sylvatica 'Purpurea',Monumentale Boom,1915,Oude Kruisweg,Cruquius,"103794,05","483389,076",4.6359055166062,52.3360371849204
417578,Aesculus hippocastanum,Monumentale Boom,1915,Spieringweg,Zwaanshoek,"102837,419","480680,143",4.62228962552786,52.311602544717
395109,Aesculus hippocastanum,Waardevolle Boom,1950,Spieringweg,Zwaanshoek,"102710,891","480541,422",4.62045585664664,52.3103438767961
398216,Aesculus hippocastanum,Monumentale Boom,1950,Spieringweg,Zwaanshoek,"102716,466","480536,919",4.62053829489967,52.3103039394304
495008,Aesculus hippocastanum,Monumentale Boom,1895,Bosstraat,Nieuw-Vennep,"103757,488","475472,652",4.6365695773951,52.2648892594277
370140,Aesculus hippocastanum,Monumentale Boom,1895,Spieringweg,Zwaanshoek,"102572,581","480352,288",4.61845726309727,52.3086310097358
293520,Aesculus hippocastanum,Monumentale Boom,1880,Lisserweg,Lisserbroek,"100536,373","474283,213",4.58958016728903,52.2538912712219
381564,Aesculus hippocastanum,Monumentale Boom,1935,Hoofdweg,Nieuw-Vennep,"102919,652","474656,554",4.62442297705373,52.2574765165527
378336,Aesculus hippocastanum,Monumentale Boom,1935,Hoofdweg,Nieuw-Vennep,"102925,765","474663,552",4.62451142400118,52.2575399870973
